quantidade_pedido;data_pedido
0.0;2017-06-18 01:34:34
2.0;2017-06-18 01:37:45
2.0;2017-06-18 01:38:47
2.0;2017-06-18 01:48:19
3.0;2017-06-18 01:48:37
1.0;2017-06-18 01:51:55
1.0;2017-06-18 01:52:21
1.0;2017-06-18 01:52:23
0.0;2017-06-18 02:02:53
1.0;2017-06-18 02:10:07
0.0;2017-06-18 02:12:42
2.0;2017-06-18 02:20:40
0.0;2017-06-18 02:23:23
2.0;2017-06-18 02:25:18
0.0;2017-06-18 02:30:04
0.0;2017-06-18 02:31:52
2.0;2017-06-18 02:32:57
0.0;2017-06-18 02:42:19
0.0;2017-06-18 07:31:56
1.0;2017-06-18 07:32:31
1.0;2017-06-18 07:32:37
0.0;2017-06-18 07:39:20
1.0;2017-06-18 07:43:04
3.0;2017-06-18 07:47:05
1.0;2017-06-18 07:53:35
1.0;2017-06-18 07:57:25
1.0;2017-06-18 07:59:06
1.0;2017-06-18 07:59:12
0.0;2017-06-18 08:11:32
1.0;2017-06-18 08:13:01
1.0;2017-06-18 08:14:39
1.0;2017-06-18 08:14:48
1.0;2017-06-18 08:25:10
5.0;2017-06-18 08:29:36
1.0;2017-06-18 08:30:41
1.0;2017-06-18 08:32:43
1.0;2017-06-18 08:35:07
1.0;2017-06-18 08:37:57
1.0;2017-06-18 08:38:03
0.0;2017-06-18 08:38:43
1.0;2017-06-18 08:39:17
0.0;2017-06-18 08:40:21
0.0;2017-06-18 08:41:42
1.0;2017-06-18 08:44:50
1.0;2017-06-18 08:46:14
1.0;2017-06-18 08:46:21
1.0;2017-06-18 08:51:27
1.0;2017-06-18 08:59:14
2.0;2017-06-18 08:59:42
0.0;2017-06-18 09:00:02
0.0;2017-06-18 09:01:45
0.0;2017-06-18 09:01:56
1.0;2017-06-18 09:02:17
2.0;2017-06-18 09:04:01
2.0;2017-06-18 09:05:12
0.0;2017-06-18 09:05:48
0.0;2017-06-18 09:11:21
1.0;2017-06-18 09:12:48
0.0;2017-06-18 09:15:03
2.0;2017-06-18 09:18:06
1.0;2017-06-18 09:18:13
3.0;2017-06-18 09:18:19
1.0;2017-06-18 09:18:28
1.0;2017-06-18 09:18:33
1.0;2017-06-18 09:28:16
1.0;2017-06-18 12:06:35
0.0;2017-06-18 12:11:43
1.0;2017-06-18 12:12:16
2.0;2017-06-18 12:17:43
1.0;2017-06-18 12:19:53
1.0;2017-06-18 12:20:29
0.0;2017-06-18 14:02:51
0.0;2017-06-18 14:03:30
0.0;2017-06-18 14:03:44
1.0;2017-06-18 14:23:07
1.0;2017-06-18 14:34:44
1.0;2017-06-18 14:34:47
1.0;2017-06-18 14:39:15
0.0;2017-06-18 14:39:56
0.0;2017-06-18 14:41:58
1.0;2017-06-18 14:46:18
1.0;2017-06-18 15:01:08
1.0;2017-06-18 15:01:43
0.0;2017-06-18 15:01:54
1.0;2017-06-18 15:05:33
1.0;2017-06-18 15:06:30
1.0;2017-06-18 15:11:26
1.0;2017-06-18 15:26:33
0.0;2017-06-18 15:32:23
1.0;2017-06-18 15:38:03
2.0;2017-06-18 15:38:10
0.0;2017-06-18 15:41:10
1.0;2017-06-18 15:43:50
1.0;2017-06-18 15:52:28
1.0;2017-06-18 15:53:18
1.0;2017-06-18 15:54:22
0.0;2017-06-18 16:00:07
1.0;2017-06-18 16:10:08
0.0;2017-06-18 16:11:41
0.0;2017-06-18 16:15:17
1.0;2017-06-18 16:19:21
1.0;2017-06-18 16:31:27
1.0;2017-06-18 16:35:01
1.0;2017-06-18 16:40:30
1.0;2017-06-18 16:51:06
4.0;2017-06-18 17:06:05
1.0;2017-06-18 17:12:05
1.0;2017-06-18 17:12:15
2.0;2017-06-18 17:14:10
2.0;2017-06-18 17:14:45
0.0;2017-06-18 17:15:09
2.0;2017-06-18 17:16:48
1.0;2017-06-18 17:22:55
3.0;2017-06-18 17:24:06
0.0;2017-06-18 17:29:58
0.0;2017-06-18 17:30:08
1.0;2017-06-18 17:34:37
7.0;2017-06-18 17:36:18
2.0;2017-06-18 17:49:15
1.0;2017-06-18 17:58:55
0.0;2017-06-18 18:01:11
0.0;2017-06-18 18:01:17
0.0;2017-06-18 18:01:23
0.0;2017-06-18 18:01:33
0.0;2017-06-18 18:01:41
0.0;2017-06-18 22:46:41
0.0;2017-06-18 22:46:46
0.0;2017-06-18 22:46:52
1.0;2017-06-18 22:55:58
1.0;2017-06-18 23:00:14
1.0;2017-06-18 23:00:20
0.0;2017-06-18 23:01:47
0.0;2017-06-18 23:02:29
1.0;2017-06-18 23:04:51
0.0;2017-06-18 23:04:55
1.0;2017-06-18 23:05:58
0.0;2017-06-18 23:07:14
0.0;2017-06-18 23:07:21
0.0;2017-06-18 23:07:33
1.0;2017-06-18 23:11:27
1.0;2017-06-18 23:15:44
1.0;2017-06-18 23:22:00
1.0;2017-06-18 23:29:25
0.0;2017-06-18 23:56:16
0.0;2017-06-19 00:00:10
0.0;2017-06-19 00:01:08
0.0;2017-06-19 00:01:57
1.0;2017-06-19 00:03:22
1.0;2017-06-19 00:05:40
1.0;2017-06-19 00:08:35
1.0;2017-06-19 00:11:35
1.0;2017-06-19 00:15:57
1.0;2017-06-19 00:16:14
1.0;2017-06-19 00:18:40
0.0;2017-06-19 00:22:42
1.0;2017-06-19 00:23:29
0.0;2017-06-19 00:23:36
0.0;2017-06-19 00:23:44
0.0;2017-06-19 00:23:50
0.0;2017-06-19 00:23:55
0.0;2017-06-19 00:24:53
1.0;2017-06-19 00:46:37
1.0;2017-06-19 00:53:11
1.0;2017-06-19 01:07:33
1.0;2017-06-19 01:14:11
1.0;2017-06-19 01:15:13
1.0;2017-06-19 01:15:45
0.0;2017-06-19 01:28:59
1.0;2017-06-19 01:32:30
0.0;2017-06-19 01:32:45
4.0;2017-06-19 01:37:40
0.0;2017-06-19 01:38:48
1.0;2017-06-19 01:43:12
0.0;2017-06-19 01:48:27
0.0;2017-06-19 01:48:31
0.0;2017-06-19 01:48:45
1.0;2017-06-19 01:48:52
0.0;2017-06-19 01:49:09
0.0;2017-06-19 01:49:23
0.0;2017-06-19 01:49:35
0.0;2017-06-19 01:49:56
0.0;2017-06-19 01:50:02
0.0;2017-06-19 01:50:06
0.0;2017-06-19 01:50:12
0.0;2017-06-19 01:50:16
0.0;2017-06-19 01:50:21
4.0;2017-06-19 01:50:42
0.0;2017-06-19 01:50:52
0.0;2017-06-19 01:50:59
0.0;2017-06-19 02:02:10
1.0;2017-06-19 02:03:37
1.0;2017-06-19 02:04:31
1.0;2017-06-19 02:09:58
1.0;2017-06-19 02:10:06
1.0;2017-06-19 02:17:24
1.0;2017-06-19 02:20:12
0.0;2017-06-19 02:32:57
1.0;2017-06-19 02:37:02
0.0;2017-06-19 03:01:54
1.0;2017-06-19 03:03:09
1.0;2017-06-19 03:25:24
0.0;2017-06-19 03:31:56
1.0;2017-06-19 04:00:08
4.0;2017-06-19 04:02:33
1.0;2017-06-19 04:08:33
1.0;2017-06-19 04:22:06
1.0;2017-06-19 04:22:12
1.0;2017-06-19 04:25:09
1.0;2017-06-19 04:26:43
1.0;2017-06-19 04:27:35
1.0;2017-06-19 04:30:03
1.0;2017-06-19 04:30:08
0.0;2017-06-19 04:41:10
0.0;2017-06-19 04:41:55
0.0;2017-06-19 04:48:00
1.0;2017-06-19 04:48:50
1.0;2017-06-19 04:52:52
1.0;2017-06-19 04:55:38
1.0;2017-06-19 04:56:10
0.0;2017-06-19 04:57:21
2.0;2017-06-19 05:05:12
1.0;2017-06-19 05:07:14
1.0;2017-06-19 05:08:45
1.0;2017-06-19 05:10:26
1.0;2017-06-19 05:11:17
2.0;2017-06-19 07:27:05
1.0;2017-06-19 07:36:44
1.0;2017-06-19 07:36:45
1.0;2017-06-19 07:36:54
2.0;2017-06-19 07:37:37
2.0;2017-06-19 07:40:33
1.0;2017-06-19 07:43:07
1.0;2017-06-19 07:45:02
0.0;2017-06-19 07:48:13
0.0;2017-06-19 07:49:16
0.0;2017-06-19 07:50:03
0.0;2017-06-19 07:50:24
1.0;2017-06-19 07:50:33
0.0;2017-06-19 07:51:00
0.0;2017-06-19 07:52:04
0.0;2017-06-19 07:52:07
0.0;2017-06-19 07:53:14
0.0;2017-06-19 07:53:37
0.0;2017-06-19 07:54:46
0.0;2017-06-19 07:56:38
0.0;2017-06-19 07:57:14
0.0;2017-06-19 07:57:23
1.0;2017-06-19 07:57:25
0.0;2017-06-19 07:57:45
0.0;2017-06-19 07:58:58
0.0;2017-06-19 08:00:02
1.0;2017-06-19 08:00:04
0.0;2017-06-19 08:01:07
